数据集,规范字段名,中文字段名,数据类型,单位,小数位数,默认格式,字段说明
kline_daily,amount,成交额 （千元）,float,万,2,%.2f,成交额 （千元）
kline_daily,change,涨跌额,float,元,3,%.3f,涨跌额
kline_daily,close,收盘价,float,元,3,%.3f,收盘价
kline_daily,high,最高价,float,元,3,%.3f,最高价
kline_daily,low,最低价,float,元,3,%.3f,最低价
kline_daily,open,开盘价,float,元,3,%.3f,开盘价
kline_daily,pct_chg,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,float,%,2,%.2f,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
kline_daily,pre_close,昨收价【除权价，前复权】,float,元,3,%.3f,昨收价【除权价，前复权】
kline_daily,trade_date,交易日期,str,无,0,YYYY-MM-DD,交易日期
kline_daily,ts_code,股票代码,str,无,0,,股票代码
kline_daily,vol,成交量 （手）,float,手,0,%.0f,成交量 （手）
kline_m1,amount_m,分钟成交额,float,万,2,%.2f,分钟成交额，配合 freq 字段决定 1/5/15/30/60 分钟，规范单位：万
kline_m1,close,收盘价,float,元,3,%.3f,收盘价
kline_m1,high,最高价,float,元,3,%.3f,最高价
kline_m1,low,最低价,float,元,3,%.3f,最低价
kline_m1,open,开盘价,float,元,3,%.3f,开盘价
kline_m1,time,交易时间,None,无,0,YYYY-MM-DD HH:MM:SS,交易时间
kline_m1,trade_time,交易时间,str,无,0,YYYY-MM-DD HH:MM:SS,交易时间
kline_m1,ts_code,股票代码,str,无,0,,股票代码
kline_m1,vol,成交量,int,无,0,%.0f,成交量
trade_calendar,exchange,交易所 SSE上交所 SZSE深交所,str,无,0,,交易所 SSE上交所 SZSE深交所
trade_calendar,cal_date,日历日期,str,无,0,YYYY-MM-DD,日历日期
trade_calendar,is_open,是否交易 0休市 1交易,str,无,0,,是否交易 0休市 1交易
trade_calendar,pretrade_date,上一个交易日,str,无,0,YYYY-MM-DD,上一个交易日
stock_basic,ts_code,TS代码,str,无,0,,TS代码
stock_basic,symbol,股票代码,str,无,0,,股票代码
stock_basic,name,股票名称,str,无,0,,股票名称
stock_basic,area,地域,str,无,0,,地域
stock_basic,industry,所属行业,str,无,0,,所属行业
stock_basic,fullname,股票全称,str,无,0,,股票全称
stock_basic,enname,英文全称,str,无,0,,英文全称
