file,lineno,api_object,api_name
data_source_manager.py,32,ts,set_token
data_source_manager.py,33,ts,pro_api
indicator_screening.py,97,ts,pro_api
indicator_screening.py,103,pro,daily
indicator_screening.py,117,pro,stock_basic
indicator_screening.py,285,pro,daily_basic
indicator_screening.py,303,pro,daily
indicator_screening.py,311,pro,moneyflow_ind_dc
indicator_screening.py,326,pro,moneyflow_ind_dc
sector_strategy_data.py,312,ts,set_token
sector_strategy_data.py,313,ts,pro_api
smart_monitor_data.py,28,ts,set_token
smart_monitor_data.py,29,ts,pro_api
smart_monitor_data.py,619,ts,pro_bar
tdx_backend.py,633,ts,pro_api
tdx_backend.py,636,pro,trade_cal
tdx_backend.py,1490,ts,pro_api
tdx_backend.py,1500,pro,trade_cal
test_realtime_requotes.py,57,ts,set_token
test_realtime_requotes.py,58,ts,pro_api
test_realtime_requotes.py,61,pro,realtime_quote
test_tushare_major_news.py,27,ts,set_token
test_tushare_major_news.py,28,ts,pro_api
test_tushare_major_news.py,32,pro,major_news
tushare_atomic_api.py,61,ts,set_token
tushare_atomic_api.py,62,ts,pro_api
tushare_atomic_api.py,227,ts,pro_bar
newdoc\data_source_manager_old.py,28,ts,set_token
newdoc\data_source_manager_old.py,29,ts,pro_api
newdoc\unified_data_api_old.py,44,ts,set_token
newdoc\unified_data_api_old.py,45,ts,pro_api
scripts\compare_qfq_with_tushare.py,26,ts,set_token
scripts\compare_qfq_with_tushare.py,55,ts,pro_api
scripts\compare_qfq_with_tushare.py,58,ts,pro_bar
scripts\ingest_tushare_moneyflow.py,54,ts,pro_api
scripts\ingest_tushare_moneyflow.py,202,pro,moneyflow_ind_dc
scripts\ingest_tushare_tdx_board.py,60,ts,pro_api
scripts\ingest_tushare_tdx_board.py,300,pro,tdx_index
scripts\ingest_tushare_tdx_board.py,324,pro,tdx_member
scripts\inspect_603197_20250827.py,30,ts,set_token
scripts\inspect_603197_20250827.py,51,ts,pro_bar
scripts\rebuild_adjusted_daily.py,250,pro,adj_factor
scripts\rebuild_adjusted_daily.py,312,ts,set_token
scripts\rebuild_adjusted_daily.py,313,ts,pro_api
scripts\rebuild_adjusted_daily.py,376,ts,set_token
scripts\rebuild_adjusted_daily.py,377,ts,pro_api
scripts\sync_trading_calendar.py,27,ts,pro_api
scripts\sync_trading_calendar.py,48,pro,trade_cal
